examURL,course,exam
http://www.math.ubc.ca/Ugrad/pastExams/Files/221_2009WT1.pdf,MATH221,December_2009
http://www.math.ubc.ca/Ugrad/pastExams/Files/221_2011WT1.pdf,MATH221,December_2011
http://www.math.ubc.ca/Ugrad/pastExams/Files/257+316_2011WT1.pdf,MATH257,December_2011
http://www.math.ubc.ca/Ugrad/pastExams/Files/307_2005WT2.pdf,MATH307,April_2006
http://www.math.ubc.ca/Ugrad/pastExams/Files/307_2011WT2.pdf,MATH307,April_2012
http://www.math.ubc.ca/Ugrad/pastExams/Files/307_2012WT2_sec201.pdf,MATH307,April_2013
http://www.math.ubc.ca/Ugrad/pastExams/Files/307_2008WT1.pdf,MATH307,December_2008
http://www.math.ubc.ca/Ugrad/pastExams/Files/307_2010WT1.pdf,MATH307,December_2010
http://www.math.ubc.ca/Ugrad/pastExams/Files/307_2012WT1.pdf,MATH307,December_2012
http://www.math.ubc.ca/Ugrad/pastExams/Files/312_2005WT1.pdf,MATH312,December_2005
http://www.math.ubc.ca/Ugrad/pastExams/Files/312_2008WT1.pdf,MATH312,December_2008
http://www.math.ubc.ca/Ugrad/pastExams/Files/312_2009WT1.pdf,MATH312,December_2009
http://www.math.ubc.ca/Ugrad/pastExams/Files/312_2010WT1.pdf,MATH312,December_2010
http://www.math.ubc.ca/Ugrad/pastExams/Files/312_2012WT1.pdf,MATH312,December_2012
http://www.math.ubc.ca/Ugrad/pastExams/Files/312_2013WT1.pdf,MATH312,December_2013
http://www.math.ubc.ca/Ugrad/pastExams/Files/437+537_2006WT1.pdf,MATH437,December_2006
http://www.math.ubc.ca/Ugrad/pastExams/Files/437+537_2011WT1.pdf,MATH437,December_2011
